Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
4ZCO,AGPE AVICOLA LAS PALMAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2025-08-01,OPERACION
4ZCQ,AGPE TORRES DE COMFANDI,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2025-08-01,OPERACION
4ZE5,AGPE DISPENSADORA DE COMBUSTIBLES SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-08-07,OPERACION
4ZE7,AGPE LIA MARINA BAUTISTA MURCIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ENBC,RAD SOLAR,2025-08-07,OPERACION
4ZE9,AGPE ESTADERO HOLLYWOOD 4M,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-07,OPERACION
4ZEB,AGPE GRUPO DORISA SAS 41,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-08-07,OPERACION
4ZED,AGPE 455 ARA BARRANQUILLA LA VICTORIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-08-07,OPERACION
4ZEF,AGPE 447 ARA BARRANQUILLA SANTUARIO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-08-07,OPERACION
4ZEH,AGPE SSFV HOTEL SAN FRANCISCO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-07,OPERACION
4ZEJ,AGPE COLEGIO COLOMBO BRITÁNICO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-07,OPERACION
