year,month,monthly_avg,monthly_max,monthly_min,monthly_sum,days
2021,6,8349315.856986111,10181438.99,6246653.35,6011507417.03,30
2021,7,8557466.106505377,10385879.39,6264139.41,6366754783.24,31
2021,8,8556448.623978494,10358803.31,6424246.13,6365997776.24,31
2021,9,9005477.500916667,10883124.71,6725857.67,6483943800.66,30
2021,10,8900107.793561827,11026402.56,6529452.33,6621680198.41,31
2021,11,8737951.793319443,10641221.76,6324383.15,6291325291.19,30
2021,12,8491871.875981184,10453069.86,6142294.06,6317952675.73,31
2022,1,8436458.408709679,10385921.84,5886654.51,6276725056.08,31
2022,2,8754056.121056547,10779316.08,6570776.74,5882725713.35,28
2022,3,8693267.754637098,10608319.67,6493411.73,6467791209.45,31
2022,4,8665023.324208332,10535592.03,6491869.44,6238816793.429999,30
2022,5,8813042.817150537,10752217.85,6537375.86,6556903855.96,31
2022,6,8615560.371402778,10439191.47,6480213.54,6203203467.41,30
2022,7,8820160.653373657,10565306.01,6576331.51,6562199526.11,31
2022,8,8887267.020416668,10692548.59,6636836.84,6612126663.190001,31
2022,9,8914289.420916667,10660464.15,6539098.68,6418288383.06,30
2022,10,8915413.183239246,10761096.46,6520200.19,6633067408.33,31
2022,11,8930379.016875,10834307.03,6610221.56,6429872892.150001,30
2022,12,8906892.613319892,10689626.46,6365066.13,6626728104.31,31
2023,1,8996594.968844088,10916074.1,6424557.32,6693466656.82,31
2023,2,9224620.769955356,10986570.28,6633597.24,6198945157.41,28
2023,3,8930489.709932797,11021152.59,6554851.71,6644284344.190001,31
2023,4,8800972.274402779,10674278.5,6354580.04,6336700037.57,30
2023,5,9017823.998024194,11086212.01,6321567.61,6709261054.53,31
2023,6,8950876.354972221,11045165.45,6405697.87,6444630975.58,30
2023,7,8900435.589932796,10953305.31,6346559.89,6621924078.91,31
2023,8,9387570.92014785,11710337.37,6939116.9,6984352764.59,31
2023,9,9892609.139541667,11757378.78,7015372.66,7122678580.47,30
2023,10,9508206.801276881,11518983.18,7057853.92,7074105860.15,31
2023,11,9540710.178694446,11580999.46,7067600.57,6869311328.66,30
2023,12,9387870.450228496,11636851.86,6782610.31,6984575614.97,31
2024,1,9323748.772620969,11384333.33,6353959.47,6936869086.83,31
2024,2,9417196.605215516,11319610.29,7152887.97,6554368837.23,29
2024,3,9638565.465120967,11746388.47,7163329.53,7171092706.05,31
2024,4,9501116.612041665,11497942.03,6899473.59,6840803960.67,30
2024,5,9368627.667594086,11215462.18,6960576.35,6970258984.690001,31
2024,6,9052163.42025,10992690.83,6759500.76,6517557662.58,30
2024,7,9395615.157446237,11586936.02,7076582.43,6990337677.14,31
2024,8,9746160.350645162,11713817.89,7230643.73,7251143300.88,31
2024,9,9862030.778041666,11934048.3,7335837.24,7100662160.19,30
2024,10,9438454.326975808,11420972.88,7160494.06,7022210019.2699995,31
2024,11,9360577.43725,11517267.44,6822547.83,6739615754.82,30
2024,12,9634412.652553763,11722891.81,6654367.05,7168003013.5,31
2025,1,9508118.896290323,11585952.6,6388178.1,7074040458.84,31
2025,2,9551071.854732143,11588729.01,7099522.17,6418320286.38,28
2025,3,9382343.461895162,11558957.44,6810343.37,6980463535.65,31
2025,4,9383882.598597223,11471908.95,7193785.71,6756395470.99,30
2025,5,9539039.551599462,11556127.57,7118282.12,7097045426.39,31
2025,6,9469048.927777776,11509919.97,7109879.12,6817715228.0,30
2025,7,9799220.974610215,11613320.38,7294687.52,7290620405.11,31
2025,8,9723306.789744623,11855656.51,7309827.62,7234140251.57,31
